"","sample","group","rep","gender","batch"
"1","APB1","APB","1","M","1"
"2","APB2","APB","2","F","2"
"3","APB3","APB","3","M","3"
"4","APB4","APB","4","M","4"
"5","APB5","APB","5","M","5"
"6","APB6","APB","6","M","6"
"7","AS1","AS","1","M","1"
"8","AS2","AS","2","F","2"
"9","AS3","AS","3","F","3"
"10","AS4","AS","4","M","4"
"11","AS5","AS","5","M","5"
"12","AS6","AS","6","M","6"
"13","CB1","CB","1","F","1"
"14","CB2","CB","2","M","2"
"15","CB3","CB","3","F","3"
"16","CB4","CB","4","F","4"
"17","CB5","CB","5","F","5"
"18","FS1","FS","1","F","1"
"19","FS2","FS","2","M","2"
"20","FS3","FS","3","F","3"
"21","FS4","FS","4","M","4"
"22","FS5","FS","5","M","5"
"23","FS6","FS","6","F","6"
"24","PS1","PS","1","F","5"
"25","PS2","PS","2","F","5"
"26","PS2_2","PS","2","F","6"
